
Timestamp,ID,Extended,Bus,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
2255,414,0,0,8,00,EA,EF,FC,FE,63,00,D9
2255,416,0,0,8,00,80,00,A0,FF,12,E0,B5
2266,690,0,0,8,00,00,00,00,4F,00,01,04
2266,168,0,0,8,7F,7D,F8,72,F8,F1,03,00
2266,180,0,0,8,3B,07,00,00,7D,FF,FF,02
2277,172,0,0,8,AE,07,00,00,00,7D,00,7D
2277,168,0,0,8,80,7E,F8,72,F8,F1,03,00
2277,168,0,0,8,72,70,F8,72,F8,F1,03,00
2287,169,0,0,8,0C,50,87,CF,2B,87,FF,08
2288,181,0,0,8,B7,05,80,00,08,30,00,44
2288,180,0,0,8,3C,08,00,00,7D,FF,FF,02
2298,172,0,0,8,AF,08,00,00,00,7D,00,7D
2299,168,0,0,8,73,71,F8,72,F8,F1,03,00
2299,168,0,0,8,74,72,F8,72,F8,F1,03,00
2299,169,0,0,8,0E,52,87,CF,2B,87,FF,08
2310,181,0,0,8,B9,07,80,00,08,30,00,44
2310,180,0,0,8,3D,09,00,00,7D,FF,FF,02
2310,172,0,0,8,B0,09,00,00,00,7D,00,7D
2321,168,0,0,8,75,73,F8,72,F8,F1,03,00
2321,418,0,0,8,00,00,00,4F,D0,07,00,CA
2321,168,0,0,8,76,74,F8,72,F8,F1,03,00
2331,181,0,0,8,BB,09,80,00,08,30,00,44
2332,169,0,0,8,10,54,87,CF,2B,87,FF,08
2332,168,0,0,8,77,75,F8,72,F8,F1,03,00
2342,418,0,0,8,00,00,00,5F,D0,07,00,DA
2343,169,0,0,8,11,55,87,CF,2B,87,FF,08
2343,170,0,0,8,9E,76,F8,00,00,00,84,00
2353,185,0,0,6,70,05,00,00,C0,F0,,
2354,180,0,0,8,3F,0B,00,00,7D,FF,FF,02
2354,206,0,0,8,00,00,00,00,00,00,00,00
2354,304,0,0,5,00,0E,90,04,33,,,
2364,191,0,0,5,84,04,FF,FF,C0,,,
2365,180,0,0,8,40,0C,00,00,7D,FF,FF,02
2365,172,0,0,8,B3,0C,00,00,00,7D,00,7D
2375,168,0,0,8,7B,79,F8,72,F8,F1,03,00
2376,418,0,0,8,00,00,00,7F,D0,07,00,FA
2376,168,0,0,8,7C,7A,F8,72,F8,F1,03,00
2386,169,0,0,8,16,5A,87,CF,2B,87,FF,08
2387,181,0,0,8,B2,00,80,00,08,30,00,44
2387,180,0,0,8,41,0D,00,00,7D,FF,FF,02
2387,172,0,0,8,B4,0D,00,00,00,7D,00,7D
2398,168,0,0,8,7D,7B,F8,72,F8,F1,03,00
2398,168,0,0,8,7E,7C,F8,72,F8,F1,03,00
2398,181,0,0,8,B4,02,80,00,08,30,00,44
2408,169,0,0,8,18,5C,87,CF,2B,87,FF,08
2409,196,0,0,7,00,80,FD,00,80,FF,F2,
2409,180,0,0,8,42,0E,00,00,7D,FF,FF,02
2419,172,0,0,8,B5,0E,00,00,00,7D,00,7D
2420,168,0,0,8,7F,7D,F8,72,F8,F1,03,00
2420,168,0,0,8,80,7E,F8,72,F8,F1,03,00
2430,169,0,0,8,1A,5E,87,CF,2B,87,FF,08
2431,181,0,0,8,B6,04,80,00,08,30,00,44
2431,168,0,0,8,72,70,F8,72,F8,F1,03,00
2441,418,0,0,8,00,00,00,AF,D0,07,00,2B
2442,169,0,0,8,0C,50,87,CF,2B,87,FF,08
2442,168,0,0,8,73,71,F8,72,F8,F1,03,00
2442,169,0,0,8,0D,51,87,CF,2B,87,FF,08
2452,181,0,0,8,B8,06,80,00,08,30,00,44
2453,186,0,0,8,03,FF,0F,00,00,87,8B,2F
2453,170,0,0,8,9A,72,F8,00,00,00,84,00
2463,181,0,0,8,B9,07,80,00,08,30,00,44
2464,196,0,0,7,00,80,FD,00,80,FF,F2,
2464,185,0,0,6,76,0B,00,00,C0,F0,,
2474,180,0,0,8,36,02,00,00,7D,FF,FF,02
2475,172,0,0,8,A9,02,00,00,00,7D,00,7D
2475,414,0,0,8,00,EA,1F,FC,FE,63,00,09
2485,416,0,0,8,00,80,00,90,FF,0E,A0,61
2486,422,0,0,8,00,00,00,00,00,00,50,F6
2486,180,0,0,8,37,03,00,00,7D,FF,FF,02
2496,172,0,0,8,AA,03,00,00,00,7D,00,7D
2497,168,0,0,8,78,76,F8,72,F8,F1,03,00
2497,168,0,0,8,79,77,F8,72,F8,F1,03,00
2497,169,0,0,8,13,57,87,CF,2B,87,FF,08
2508,181,0,0,8,BE,0C,80,00,08,30,00,44
2508,180,0,0,8,38,04,00,00,7D,FF,FF,02
2508,172,0,0,8,AB,04,00,00,00,7D,00,7D
2518,168,0,0,8,7A,78,F8,72,F8,F1,03,00
2519,169,0,0,8,14,58,87,CF,2B,87,FF,08
2519,168,0,0,8,7B,79,F8,72,F8,F1,03,00
2529,169,0,0,8,15,59,87,CF,2B,87,FF,08
2530,181,0,0,8,C0,0E,80,00,08,30,00,44
2530,180,0,0,8,39,05,00,00,7D,FF,FF,02
2540,172,0,0,8,AC,05,00,00,00,7D,00,7D
2541,168,0,0,8,7C,7A,F8,72,F8,F1,03,00
2541,168,0,0,8,7D,7B,F8,72,F8,F1,03,00
2551,169,0,0,8,17,5B,87,CF,2B,87,FF,08
2552,181,0,0,8,B3,01,80,00,08,30,00,44
2552,168,0,0,8,7E,7C,F8,72,F8,F1,03,00
2552,169,0,0,8,18,5C,87,CF,2B,87,FF,08
2563,186,0,0,8,03,FF,0F,00,00,7D,81,2F
2563,170,0,0,8,A5,7D,F8,00,00,00,84,00
2563,196,0,0,7,00,80,FD,00,80,FF,F2,
2573,185,0,0,6,6C,01,00,00,C0,F0,,
2574,180,0,0,8,3B,07,00,00,7D,FF,FF,02
2574,191,0,0,5,80,00,FF,FF,C0,,,
2584,414,0,0,8,00,EA,1F,FC,FE,63,00,09
2585,416,0,0,8,00,80,00,90,FF,0E,00,C0
2585,180,0,0,8,3C,08,00,00,7D,FF,FF,02
